학원명,주소,교습과정,지역,clean_addr,location,lat,lon
오르다미술학원,"인천광역시 연수구 봉재산로36번길 9 , 1층 일부(동춘동)",예능(중),연수구 (1),인천광역시 연수구 봉재산로36번길 9,"봉재산로36번길, 건영아파트, 동춘동, 동춘1동, 연수구, 인천광역시, 21964, 대한민국",37.4087764,126.665039
오르다미술학원,"인천광역시 연수구 봉재산로36번길 9 , 1층 일부(동춘동)",예능(중),연수구 (1),인천광역시 연수구 봉재산로36번길 9,"봉재산로36번길, 건영아파트, 동춘동, 동춘1동, 연수구, 인천광역시, 21964, 대한민국",37.4087764,126.665039
오르다미술학원,"인천광역시 연수구 봉재산로36번길 9 , 1층 일부(동춘동)",예능(중),연수구 (1),인천광역시 연수구 봉재산로36번길 9,"봉재산로36번길, 건영아파트, 동춘동, 동춘1동, 연수구, 인천광역시, 21964, 대한민국",37.4087764,126.665039
오르다미술학원,"인천광역시 연수구 봉재산로36번길 9 , 1층 일부(동춘동)",예능(중),연수구 (1),인천광역시 연수구 봉재산로36번길 9,"봉재산로36번길, 건영아파트, 동춘동, 동춘1동, 연수구, 인천광역시, 21964, 대한민국",37.4087764,126.665039
오르다미술학원,"인천광역시 연수구 봉재산로36번길 9 , 1층 일부(동춘동)",예능(중),연수구 (1),인천광역시 연수구 봉재산로36번길 9,"봉재산로36번길, 건영아파트, 동춘동, 동춘1동, 연수구, 인천광역시, 21964, 대한민국",37.4087764,126.665039
오르다미술학원,"인천광역시 연수구 봉재산로36번길 9 , 1층 일부(동춘동)",예능(중),연수구 (1),인천광역시 연수구 봉재산로36번길 9,"봉재산로36번길, 건영아파트, 동춘동, 동춘1동, 연수구, 인천광역시, 21964, 대한민국",37.4087764,126.665039
오르다미술학원,"인천광역시 연수구 봉재산로36번길 9 , 1층 일부(동춘동)",예능(중),연수구 (1),인천광역시 연수구 봉재산로36번길 9,"봉재산로36번길, 건영아파트, 동춘동, 동춘1동, 연수구, 인천광역시, 21964, 대한민국",37.4087764,126.665039
오르다미술학원,"인천광역시 연수구 봉재산로36번길 9 , 1층 일부(동춘동)",예능(중),연수구 (1),인천광역시 연수구 봉재산로36번길 9,"봉재산로36번길, 건영아파트, 동춘동, 동춘1동, 연수구, 인천광역시, 21964, 대한민국",37.4087764,126.665039
오르다미술학원,"인천광역시 연수구 봉재산로36번길 9 , 1층 일부(동춘동)",예능(중),연수구 (1),인천광역시 연수구 봉재산로36번길 9,"봉재산로36번길, 건영아파트, 동춘동, 동춘1동, 연수구, 인천광역시, 21964, 대한민국",37.4087764,126.665039
오르다미술학원,"인천광역시 연수구 봉재산로36번길 9 , 1층 일부(동춘동)",예능(중),연수구 (1),인천광역시 연수구 봉재산로36번길 9,"봉재산로36번길, 건영아파트, 동춘동, 동춘1동, 연수구, 인천광역시, 21964, 대한민국",37.4087764,126.665039
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
