정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
청송2.3단지,80089,103,93,103,93,0,6.53
청송2.3단지,80101,265,101,265,101,0,12.2
청송마을.성우오스타,80329,226,133,226,133,0,11.97
청송부락,90092,0,4,0,4,0,0.13
청송부락,90093,80,163,79,163,1,8.1
청수농장,35928,1,5,1,5,0,0.2
청수농장,35929,0,1,0,1,0,0.03
청수사거리,40582,3910,6792,3910,6792,0,356.73
청수사거리,40586,17111,7501,17111,7501,0,820.4
청양골,42775,2,69,2,69,0,2.37
청운대삼거리(하늘꿈교회),37433,5343,4720,5343,4720,0,335.43
청운대삼거리(하늘꿈교회),37500,3260,3526,3260,3526,0,226.2
청운대후문.한전제물포지사,37632,170,269,170,269,0,14.63
청운대후문.한전제물포지사,37633,169,1290,169,1290,0,48.63
청정주말농장,39852,3,224,3,224,0,7.57
청천1동행정복지센터,40938,1247,349,1247,349,0,53.2
청천1동행정복지센터,40939,351,2169,351,2169,0,84
청천농장,40538,205,1172,205,1172,0,45.9
청천농장,42511,1495,329,1495,329,0,60.8
청천농장(종점),40520,2687,2846,2687,2846,0,184.43
청천농장입구,40558,358,20,358,20,0,12.6
청천농장입구,40809,4,354,4,354,0,11.93
청천농장입구,40941,28,1000,28,1000,0,34.27
청천도서관,40426,1198,1994,1198,1994,0,106.4
청천도서관,40427,970,813,970,813,0,59.43
청천동,40808,787,770,787,770,0,51.9
청천동무지개아파트,40617,838,3810,838,3810,0,154.93
청천동무지개아파트,40618,3523,868,3523,868,0,146.37
청천동아이즈빌아울렛,40587,3252,8463,3252,8463,0,390.5
청천동아이즈빌아울렛,40818,3826,2130,3826,2130,0,198.53
청천동차고지,40925,2349,3094,2349,3094,0,181.43
청천오거리,40568,676,1170,676,1170,0,61.53
청천중학교,40449,1728,7579,1728,7579,0,310.23
청천중학교,40455,1678,5262,1678,5262,0,231.33
청천천공영주차장,40896,661,2338,661,2338,0,99.97
청천천공영주차장,41639,679,2025,679,2025,0,90.13
청천초등학교후문,40574,1908,14317,1908,14317,0,540.83
청천초등학교후문,40579,15003,1681,15003,1681,0,556.13
청천치안센터,40533,35494,15664,35494,15664,0,1705.27
청천치안센터,40537,12245,17598,12245,17598,0,994.77
청천푸르지오아파트,40488,10044,9427,10044,9427,0,649.03
청천푸르지오아파트,40515,11748,1812,11748,1812,0,452
청천푸르지오아파트,40516,1891,8247,1891,8247,0,337.93
