정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
(주)경동세라믹스,89146,955,32,955,32,0,32.9
(주)경인양행앞,42096,2174,1253,2174,1253,0,114.23
(주)경인양행앞,42097,2218,5252,2218,5252,0,249
(주)대한특수금속,39050,1006,77,1006,77,0,36.1
(주)두남,39135,161,82,161,82,0,8.1
(주)세모입구(린나이코리아),37585,1519,2051,1519,2051,0,119
(주)세모입구(린나이코리아),40893,447,721,447,721,0,38.93
(주)스킨이데아,89388,1352,3465,1352,3465,0,160.57
(주)스킨이데아,89389,2990,46,2990,46,0,101.2
(주)우리김치,39133,434,3184,434,3184,0,120.6
(주)우리김치,39134,2124,477,2124,477,0,86.7
(주)창원,39029,3321,2913,3321,2913,0,207.8
(주)창원,39030,3682,3501,3682,3501,0,239.43
(주)하나금속,39124,16,64,16,64,0,2.67
17사단.다임메가타운,40895,2661,5128,2661,5128,0,259.63
2001아울렛,40154,3667,6016,3667,6016,0,322.77
2001아울렛,40159,31581,13219,31581,13219,0,1493.33
2001아울렛,40162,10999,21996,10999,21996,0,1099.83
2001아울렛부평점,40158,3915,4149,3915,4149,0,268.8
2차풍림아이원,42584,18,10088,18,10088,0,336.87
3단지,40736,264,1508,264,1508,0,59.07
3단지관리사무소,40107,1722,300,1722,300,0,67.4
41번구종점,42174,1973,6188,1973,6188,0,272.03
510번차고지,36145,822,551,822,551,0,45.77
540번종점,39470,2864,4159,2864,4159,0,234.1
6공단사거리,37577,230,2227,230,2227,0,81.9
6공단입구,37442,511,951,511,951,0,48.73
6공단입구,37443,986,1434,986,1434,0,80.67
8부두,35181,276,2159,276,2159,0,81.17
8부두,35182,1818,3218,1818,3218,0,167.87
BMNR&D센터,89451,570,0,570,0,0,19
BMNR&D센터,89452,5,427,5,427,0,14.4
BMX경기장,90459,8,8,8,8,0,0.53
BMX경기장,90477,3,4,3,4,0,0.23
CJ인천2공장,35591,462,3247,462,3247,0,123.63
CJ인천2공장,35592,2682,139,2682,139,0,94.03
E편한세상,42453,396,401,396,401,0,26.57
E편한세상,42649,1384,6784,1384,6784,0,272.27
E편한세상,42726,6789,1478,6789,1478,0,275.57
GS25편의점,36142,1132,2490,1132,2490,0,120.73
GS칼텍스,35168,598,39,598,39,0,21.23
GS칼텍스,35557,4,2301,4,2301,0,76.83
GS칼텍스,89220,78,699,78,699,0,25.9
GS칼텍스,89224,315,2490,315,2490,0,93.5
GS칼텍스주유소,39814,55,122,55,122,0,5.9
HD현대인프라코어,36081,937,1623,937,1623,0,85.33
HD현대인프라코어,36083,2264,873,2264,873,0,104.57
HD현대인프라코어후문,36078,3237,786,3237,786,0,134.1
JC회관,37383,4179,4330,4179,4330,0,283.63
JST기술연구소,89491,5,2238,5,2238,0,74.77
JST기술연구소,89492,998,27,998,27,0,34.17
KCC아파트,42391,2003,1311,2003,1311,0,110.47
KG모빌리티인천서비스센터,36144,76,1341,76,1341,0,47.23
KG스틸,42008,2549,4487,2549,4487,0,234.53
KTX광명역4번출구,58057,3,29,3,29,0,1.07
KT부평지사,40381,10058,7161,10058,7161,0,573.97
KT부평지사,40384,8198,13033,8198,13033,0,707.7
KT서인천지사,42932,1652,2647,1652,2647,0,143.3
KT서인천지사,42933,1474,826,1474,826,0,76.67
KT송도지점,38568,740,429,740,429,0,38.97
KT온수분국,43523,609,520,609,520,0,37.63
KT인천공항지사,35095,270,301,270,301,0,19.03
KT인천공항지사,35109,6055,3982,6054,3982,1,334.57
KT인천지사,37415,6694,5344,6694,5344,0,401.27
KT인천지사,39319,8199,5287,8199,5287,0,449.53
KT중동지사,55081,920,225,920,225,0,38.17
KT중동지사,55082,216,1142,216,1142,0,45.27
LG마그나,89029,5168,2313,5168,2313,0,249.37
LG마그나,89264,4384,6376,4384,6376,0,358.67
LG물류센터,39043,628,127,628,127,0,25.17
LG물류센터,39044,135,614,135,614,0,24.97
LG전자(주),42297,6043,5195,6043,5195,0,374.6
LH1단지,35494,8348,3911,8347,3911,1,408.63
LH49단지행복주택아파트,35768,736,1670,736,1670,0,80.2
LH49단지행복주택아파트,35769,2228,833,2228,833,0,102.03
LH7단지,35451,3718,2717,3716,2717,2,214.5
LH7단지,35452,2753,4197,2753,4197,0,231.67
LH미추홀3단지,37222,3773,6756,3773,6756,0,350.97
LH미추홀3단지,37635,6436,3254,6436,3254,0,323
NKG물류센터,89212,263,261,263,261,0,17.47
SH글로벌,41083,1128,450,1128,450,0,52.6
SH글로벌,41084,586,2284,586,2284,0,95.67
SK.GS주유소,89230,1853,1747,1853,1747,0,120
SK.GS주유소,89231,1615,2084,1615,2084,0,123.3
SKLPG충전사업소,35636,942,9,942,9,0,31.7
SKLPG충전사업소,35638,4,757,4,757,0,25.37
SK뷰아파트,42888,1544,4688,1544,4688,0,207.73
SK뷰아파트,42889,5486,1264,5486,1264,0,225
SK스카이뷰,37601,254,30526,254,30526,0,1026
SK스카이뷰104동,37587,7796,92,7796,92,0,262.93
SK스카이뷰109동,37607,8134,90,8134,90,0,274.13
SK인천석유화학,42767,2142,2502,2142,2502,0,154.8
SK인천석유화학,42768,1812,1971,1812,1971,0,126.1
SK주유소,42956,1000,1068,1000,1068,0,68.93
SK주유소앞,35287,1713,203,1713,203,0,63.87
SK주유소앞,35539,127,1313,127,1313,0,48
SK충전소,35085,17,2292,17,2292,0,76.97
e편한세상(109동앞),32062,871,1660,871,1660,0,84.37
e편한세상(109동앞),38643,1140,473,1140,473,0,53.77
e편한세상1차(정문),35662,1649,2254,1649,2254,0,130.1
e편한세상1차(정문),35663,2745,1419,2745,1419,0,138.8
e편한세상검단어반센트로,89554,1847,2402,1847,2402,0,141.63
e편한세상검단어반센트로,89555,3150,1845,3150,1845,0,166.5
e편한세상계양,41037,13191,4113,13191,4113,0,576.8
e편한세상계양,41038,6004,14065,6004,14065,0,668.97
e편한세상부평그랑힐스정문,40928,3271,273,3271,273,0,118.13
e편한세상부평그랑힐스정문,40929,384,3252,384,3252,0,121.2
e편한세상부평그랑힐스후문,40930,3105,2481,3105,2481,0,186.2
e편한세상영종센텀베뉴정문,35510,990,4849,990,4849,0,194.63
e편한세상영종오션하임,35674,1489,778,1489,778,0,75.57
e편한세상영종오션하임,35761,844,1223,844,1223,0,68.9
e편한세상영종하늘도시,35646,997,709,997,709,0,56.87
e편한세상영종하늘도시,35647,371,725,371,725,0,36.53
e편한세상정문,38624,25538,3303,25538,3303,0,961.37
e편한세상주안에듀서밋아파트,37158,3190,2144,3190,2144,0,177.8
e편한세상주안에듀서밋아파트,37159,967,4169,967,4169,0,171.2
gym80fitness,37081,3027,1079,3027,1079,0,136.87
㈜한슬,42814,0,198,0,198,0,6.6
가경공원,89365,1462,1128,1462,1128,0,86.33
가구단지사거리,37455,2684,3682,2684,3682,0,212.2
가구단지사거리,37456,2837,1798,2837,1798,0,154.5
가구전시장,42072,1279,2148,1279,2148,0,114.23
가구전시장,42074,3012,923,3012,923,0,131.17
가나안마을앞,43904,0,12,0,12,0,0.4
가나안마을앞,43905,13,3,13,3,0,0.53
가능포,43969,14,8,14,8,0,0.73
가능포,43970,1,30,1,30,0,1.03
가림고등학교,42078,15394,13692,15394,13692,0,969.53
가산디지털단지역9번출구,18106,2,1624,2,1624,0,54.2
가산디지털단지역9번출구,18107,1641,30,1641,30,0,55.7
가야,42807,1894,3,1894,3,0,63.23
가야,42808,6,1931,6,1931,0,64.57
가오대입구,80033,137,436,137,436,0,19.1
가오대입구,80034,97,662,97,662,0,25.3
가원초등학교,42952,7079,5083,7079,5083,0,405.4
가원초등학교,89118,3282,6681,3282,6681,0,332.1
가재우물터,35678,31,23,31,23,0,1.8
가재우물터,35700,40,20,39,20,1,2
가재울사거리,42039,3050,5752,3050,5752,0,293.4
가재울사거리,42042,8699,5240,8699,5240,0,464.63
가재울역1번출구,42035,1492,692,1492,692,0,72.8
가재울역2번출구,42033,14667,9540,14667,9540,0,806.9
가재울역3번출구,42032,10557,3062,10557,3062,0,453.97
가재울역4번출구,42034,2627,2663,2627,2663,0,176.33
가정(루원시티)역,89050,14853,55997,14853,55997,0,2361.67
가정(루원시티)역,89051,77385,20667,77385,20667,0,3268.4
가정(루원시티)역,89075,90499,110625,90499,110625,0,6704.13
가정(루원시티)역,89078,103314,79888,103314,79888,0,6106.73
가정2지구3단지아파트,89626,37,26,37,26,0,2.1
가정2지구3단지아파트,89627,25,35,25,35,0,2
가정3동성당,42226,420,3470,420,3470,0,129.67
가정LH3단지정문앞,89041,18057,4526,18057,4526,0,752.77
가정고등학교,42200,11520,5242,11520,5242,0,558.73
가정고등학교,42203,3506,8139,3506,8139,0,388.17
가정교,89502,52,1180,52,1180,0,41.07
가정교,89503,2196,325,2196,325,0,84.03
가정교차로,89390,1496,1224,1496,1224,0,90.67
가정교차로,89391,362,3046,362,3046,0,113.6
가정동성당,89102,3350,4130,3350,4130,0,249.33
가정동성당,89105,2540,1604,2540,1604,0,138.13
가정로사거리,89625,181,378,181,378,0,18.63
가정보금자리,89119,2455,1055,2455,1055,0,117
가정보금자리,89120,273,1958,273,1958,0,74.37
가정여자중학교,42041,1322,7945,1322,7945,0,308.9
가정여자중학교,89527,1234,1977,1234,1977,0,107.03
가정중앙시장역,42215,1522,1914,1522,1914,0,114.53
가정중앙시장역,42219,1662,1949,1662,1949,0,120.37
가정택지삼거리,89385,309,180,309,180,0,16.3
가정택지삼거리,89386,241,628,241,628,0,28.97
가정휴먼시아3단지,89186,953,1449,953,1449,0,80.07
가정휴먼시아3단지,89187,1555,1014,1555,1014,0,85.63
가좌2동행정복지센터,42073,5383,399,5383,399,0,192.73
가좌2동행정복지센터,42076,162,6043,162,6043,0,206.83
가좌3동행정복지센터,42075,11790,13785,11790,13785,0,852.5
가좌4동행정복지센터,42062,3452,1718,3452,1718,0,172.33
가좌고등학교,42060,14573,12742,14573,12742,0,910.5
가좌고등학교,42061,6569,8711,6569,8711,0,509.33
가좌공단,42526,30,10486,30,10486,0,350.53
가좌공단,42945,7924,1122,7924,1122,0,301.53
가좌교회,42055,2558,2743,2558,2743,0,176.7
가좌교회,42057,3808,3914,3808,3914,0,257.4
가좌녹지공원,42029,1534,3539,1534,3539,0,169.1
가좌녹지공원,42030,2110,1526,2110,1526,0,121.2
가좌농협,42066,8233,6814,8233,6814,0,501.57
가좌농협,42067,6046,6099,6046,6099,0,404.83
가좌동차고,42939,3475,427,3475,427,0,130.07
가좌동차고지,42522,10,1253,10,1253,0,42.1
가좌두산위브104동앞,42090,4503,3710,4503,3710,0,273.77
가좌사거리,42043,30,221,30,221,0,8.37
가좌사거리,42044,388,3692,388,3692,0,136
가좌진주아파트,42100,15223,31106,15223,31106,0,1544.3
가좌초등학교,42069,3981,4314,3981,4314,0,276.5
가좌초등학교,42070,4982,2543,4982,2543,0,250.83
가좌테니스장,37454,1944,992,1944,992,0,97.87
가좌테니스장,37457,802,1086,802,1086,0,62.93
가좌현대아파트,42130,8439,2283,8439,2283,0,357.4
가좌현대아파트,42133,909,9443,909,9443,0,345.07
가좌홈플러스(쌍마아파트),42101,10960,7178,10960,7178,0,604.6
가좌홈플러스(쌍마아파트),42103,6950,11864,6950,11864,0,627.13
가좌환경사업소,42631,8229,5106,8229,5106,0,444.5
가좌환경사업소북측,89341,233,501,233,501,0,24.47
가좌환경사업소북측,89342,21,262,21,262,0,9.43
가천대학교,38270,1617,1397,1617,1397,0,100.47
가천대학교,38284,8288,3700,8288,3700,0,399.6
가천대학교(노인복지회관),38269,790,1284,790,1284,0,69.13
가천의대,43237,8,29,8,29,0,1.23
가천의대,43897,12,3,12,3,0,0.5
가톨릭대,43156,8,0,8,0,0,0.27
가톨릭대,43325,3,92,3,92,0,3.17
가현오일뱅크,42734,27,16,27,16,0,1.43
가현중학교,42722,3196,2927,3196,2927,0,204.1
가현초교앞(루에블리아파트),89242,2114,3445,2114,3445,0,185.3
가현초교앞(센트럴타운아파트),89243,5244,1462,5244,1462,0,223.53
각곡,43602,13,124,13,124,0,4.57
각곡,43772,167,20,161,20,6,6.23
간석4거리,39538,228,246,228,246,0,15.8
간석4동행정복지센터,39403,3714,7677,3714,7677,0,379.7
간석4동행정복지센터,39412,5514,2555,5514,2555,0,268.97
간석금호어울림아파트,39334,25481,14628,25481,14628,0,1336.97
간석남부역,37429,4201,1074,4201,1074,0,175.83
간석남부역,37435,10267,7489,10267,7489,0,591.87
간석남부역,37529,1617,3803,1617,3803,0,180.67
간석동용광경로당,39394,838,566,838,566,0,46.8
간석래미안.자이,39333,17340,17538,17340,17538,0,1162.6
간석북부역,39806,4411,105,4411,105,0,150.53
간석북부역,39807,14,2797,14,2797,0,93.7
간석북부역·우성1차,39368,13968,5046,13968,5046,0,633.8
간석북부역·우성1차,39370,5386,11040,5386,11040,0,547.53
간석사거리,39413,14058,9170,14058,9170,0,774.27
간석사거리,39414,4701,10179,4701,10179,0,496
간석사거리,39430,2780,2690,2780,2690,0,182.33
간석사거리(상인천중학교),39422,13218,29020,13218,29020,0,1407.93
간석사거리(상인천중학교),39426,31618,20167,31618,20167,0,1726.17
간석시장,39434,11709,28464,11709,28464,0,1339.1
간석시장,39436,55026,32479,55026,32479,0,2916.83
간석시장,39437,17323,23803,17323,23803,0,1370.87
간석오거리,39460,15185,16748,15185,16748,0,1064.43
간석오거리,39597,4704,3677,4704,3677,0,279.37
간석오거리(교원공제조합),39444,35524,29070,35524,29070,0,2153.13
간석오거리(교원공제조합),39446,15985,14245,15985,14245,0,1007.67
간석오거리(인천웨딩홀),39406,8404,12240,8404,12240,0,688.13
간석오거리(인천웨딩홀),39423,34905,20500,34905,20500,0,1846.83
간석오거리역(2번출구),39448,13715,18953,13715,18953,0,1088.93
간석오거리역(7번출구),39447,17078,33626,17078,33626,0,1690.13
간석오거리역(8번출구),39449,62793,68785,62793,68785,0,4385.93
간석지구대,39535,702,554,702,554,0,41.87
간석지구대,39536,549,805,549,805,0,45.13
간석풍림아파트,92053,854,626,854,626,0,49.33
간석한신더휴아파트맞은편,37447,2361,521,2361,521,0,96.07
간재울초등학교,42347,5932,3797,5932,3797,0,324.3
간촌,43504,15,69,15,69,0,2.8
간촌,43518,72,28,72,28,0,3.33
갈산1동행정복지센터,40943,290,1258,290,1258,0,51.6
갈산대동아파트,40550,634,1006,634,1006,0,54.67
갈산동아아파트,40567,1915,1616,1915,1616,0,117.7
갈산동입구,40622,62,3727,62,3727,0,126.3
갈산동천주교회,40652,945,5361,945,5361,0,210.2
갈산동천주교회맞은편,40650,7178,5156,7178,5156,0,411.13
갈산두산아파트,40544,4975,6023,4975,6023,0,366.6
갈산사거리,40631,2361,4907,2361,4907,0,242.27
갈산사거리,40634,3227,4411,3227,4411,0,254.6
갈산새마을금고,40635,8957,2215,8957,2215,0,372.4
갈산시장,40628,6815,6300,6815,6300,0,437.17
갈산시장.갈산도서관,40629,2102,5618,2102,5618,0,257.33
갈산역,40601,36573,12406,36573,12406,0,1632.63
갈산역,40602,9982,44298,9982,44298,0,1809.33
갈산역(1번출구),40604,23320,7290,23320,7290,0,1020.33
갈산역(부평4공단)4번출구,40606,7009,19155,7009,19155,0,872.13
갈산주공1단지,40578,3224,2079,3224,2079,0,176.77
갈산주공1단지105동,40813,4471,2464,4471,2464,0,231.17
갈산주공2단지,40562,651,1461,651,1461,0,70.4
갈산주공2단지,40577,4671,7753,4671,7753,0,414.13
갈산태화아파트,40542,559,1377,559,1377,0,64.53
갈산태화아파트,40664,3558,861,3558,861,0,147.3
갈산태화아파트,40666,282,1530,282,1530,0,60.4
갈산태화아파트,40667,623,2686,623,2686,0,110.3
갈삼사거리,40940,624,890,624,890,0,50.47
갈월초등학교,40531,126,1083,126,1083,0,40.3
갈현경로당,41491,172,468,172,468,0,21.33
갈현경로당앞,41607,337,193,337,193,0,17.67
갈현교,41608,5,1,5,1,0,0.2
갈현교,41609,0,9,0,9,0,0.3
갈현교입구,41492,189,32,189,32,0,7.37
갈현교입구,41617,34,199,34,199,0,7.77
갈현동마을,41351,552,703,552,703,0,41.83
갈현동마을,41352,196,801,196,801,0,33.23
갑곶돈대.강화전쟁박물관,43365,4,10,4,10,0,0.47
갑곶돈대.강화전쟁박물관,43728,3,18,3,18,0,0.7
갑곶돈대입구,43367,13,12,12,12,1,0.83
갑곶돈대입구,43726,11,2,11,2,0,0.43
갑륭초교,43374,5,8,5,8,0,0.43
갑륭초교,43724,11,261,11,261,0,9.07
갑문,35125,13,502,13,502,0,17.17
갑문,35504,216,8,216,8,0,7.47
강남시장,42172,18333,13551,18333,13551,0,1062.8
강남시장,42173,9069,9656,9069,9656,0,624.17
강남역도시에빛,31076,5419,7418,5419,7418,0,427.9
강남역서초현대타워앞,31016,52684,31942,52684,31942,0,2820.87
강남중교,43213,286,14,286,14,0,10
강남중교,43278,49,354,49,354,0,13.43
강서구청사거리.서울디지털대학교(중),16007,1300,478,1300,478,0,59.27
강서구청사거리.서울디지털대학교(중),16008,750,1488,750,1488,0,74.6
강서중학교,43660,7,140,6,140,1,4.9
강서중학교,43898,148,11,145,11,3,5.3
강인여객,40020,1136,1543,1136,1543,0,89.3
강인여객,40022,1135,766,1135,766,0,63.37
강화갯벌장어,43633,1,0,1,0,0,0.03
강화갯벌장어,43671,0,3,0,3,0,0.1
강화고등학교,43564,4,56,3,56,1,2
강화고등학교,43761,23,109,23,109,0,4.4
강화군노인문화센터,90373,67,79,67,79,0,4.87
강화군노인문화센터,90374,67,56,67,56,0,4.1
강화군청,43065,3707,1267,3658,1267,49,165.8
강화군청,43108,1444,3118,1436,3118,8,152.07
"강화군청,수라면옥",90487,160,24,159,24,1,6.13
"강화군청,수라면옥",90488,7,256,7,256,0,8.77
강화군행복센터,43055,226,2475,224,2475,2,90.03
강화군행복센터,43056,69,417,69,417,0,16.2
강화루지.강남상회,43150,150,95,150,95,0,8.17
강화루지.강남상회,43250,60,203,60,203,0,8.77
강화마니산,43001,48,69,48,69,0,3.9
강화마니산,43002,673,231,673,231,0,30.13
강화문화원.종합전시관,43097,70,82,70,82,0,5.07
강화문화원.종합전시관,43098,247,747,247,747,0,33.13
강화병원,43088,46,3532,43,3532,3,119.27
강화병원,43089,2314,103,2314,103,0,80.57
강화산단,90123,0,7,0,7,0,0.23
강화산단,90124,0,2,0,2,0,0.07
강화산단입구,90096,7,35,7,35,0,1.4
강화산단입구,90097,5,0,5,0,0,0.17
강화산성서문,43080,443,426,443,426,0,28.97
강화산성서문,43081,65,136,64,136,1,6.7
강화서문,43063,741,424,740,424,1,38.83
강화서문,43064,434,785,423,785,11,40.63
강화소방서,43364,95,336,95,336,0,14.37
강화소방서,43587,329,88,329,88,0,13.9
강화수양관앞,43467,79,15,79,15,0,3.13
강화수양관앞,43732,8,39,8,39,0,1.57
강화슈퍼,43066,1317,1530,1310,1530,7,94.9
강화슈퍼,43068,1952,729,1920,729,32,89.37
강화여자중학교,90334,20,168,20,168,0,6.27
강화여자중학교,90481,38,23,38,23,0,2.03
강화역사박물관(고인돌),43601,589,55,579,55,10,21.47
강화역사박물관(고인돌),43670,39,606,38,606,1,21.5
강화유치원,90484,2,3,2,3,0,0.17
강화유치원,90485,2,34,2,34,0,1.2
강화장례식장,43918,1761,212,1728,212,33,65.77
강화장례식장,43946,45,2221,45,2221,0,75.53
강화중학교,43207,57,102,57,102,0,5.3
강화중학교,43623,49,78,49,78,0,4.23
강화터미널,43057,9,790,9,790,0,26.63
강화터미널,43058,326,872,324,872,2,39.93
강화터미널,43096,74794,51217,74459,51217,335,4200.37
개항동어울터,35197,7852,1760,7852,1760,0,320.4
개항동어울터,35198,2084,8610,2084,8610,0,356.47
개화119안전센터,25023,36,1540,36,1540,0,52.53
개화119안전센터,25024,1443,36,1443,36,0,49.3
개화역1번출구.개화검문소,25030,473,8752,473,8752,0,307.5
개화역1번출구.개화검문소,25031,3179,434,3179,434,0,120.43
개화역광역환승센터,25182,1367,2283,1367,2283,0,121.67
갤러리84입구,35666,23,26,23,26,0,1.63
갤러리84입구,35667,31,42,31,42,0,2.43
갯벌슈퍼,43410,6,22,6,22,0,0.93
갯벌슈퍼,43513,8,0,8,0,0,0.27
거북시장,42132,11989,10233,11989,10233,0,740.73
거북시장,42136,11696,9871,11696,9871,0,718.9
거산정공.(주)록키,39137,1664,2286,1664,2286,0,131.67
거여목체육공원,41674,1,31,1,31,0,1.07
거잠포선착장,35302,36,187,36,187,0,7.43
거잠포선착장,35303,267,78,267,78,0,11.5
거잠포회센터,35588,30,51,30,51,0,2.7
건설기술교육원,39353,6864,11283,6864,11283,0,604.9
건설기술교육원,39354,5369,4602,5369,4602,0,332.37
건영아파트·나사렛국제병원,38069,14820,41185,14820,41185,0,1866.83
건일아파트,43015,586,304,586,304,0,29.67
건일아파트,43094,264,430,264,430,0,23.13
건지사거리,42882,91,1,91,1,0,3.07
건지사거리,42883,0,131,0,131,0,4.37
건평,43168,187,82,187,82,0,8.97
건평,43186,5,59,5,59,0,2.13
건평리,43187,32,22,31,22,1,1.8
건평리,43651,15,54,15,54,0,2.3
건평마을회관,43594,15,24,15,24,0,1.3
건평입구,43170,3,18,3,18,0,0.7
건평입구,43331,3,15,3,15,0,0.6
걸포북변역.국민연금공단,35560,788,5576,788,5576,0,212.13
걸포북변역.국민연금공단,35610,4402,825,4402,825,0,174.23
걸포사거리.김포우리병원,35657,174,903,174,903,0,35.9
걸포사거리.우리병원,35561,925,445,925,445,0,45.67
검단1교차로,89575,73,122,73,122,0,6.5
검단1교차로,89576,31,328,31,328,0,11.97
검단1차피오레·금호어울림아파트,89457,1114,297,1114,297,0,47.03
검단1차피오레·금호어울림아파트,89458,141,1051,141,1051,0,39.73
검단2교차로,89581,9,418,9,418,0,14.23
검단AA25단지,89619,3,81,3,81,0,2.8
검단LH13단지후문,89558,1021,913,1021,913,0,64.47
검단LH13단지후문,89559,553,620,553,620,0,39.1
검단LH26단지아파트,89545,1001,1056,1001,1056,0,68.57
검단LH26단지후문,89553,363,329,363,329,0,23.07
검단LH36단지,89548,1220,658,1220,658,0,62.6
검단LH36단지,89549,964,1186,964,1186,0,71.67
검단LH행복주택,89408,4159,3669,4159,3669,0,260.93
검단공구상가,89053,19,625,19,625,0,21.47
검단공구상가,89065,376,179,376,179,0,18.5
검단금호어울림센트럴아파트,89546,884,569,884,569,0,48.43
검단노인복지관,42695,33,90,33,90,0,4.1
검단농기구센터,89316,83,4,83,4,0,2.9
검단농기구센터,89324,9,183,9,183,0,6.4
검단농협,42432,24247,7438,24226,7438,21,1056.17
검단농협,42434,5480,13625,5476,13625,4,636.83
검단대성베르힐,89467,1730,706,1730,706,0,81.2
검단동행정복지센터(검단고교),42441,3709,7406,3708,7406,1,370.5
검단동행정복지센터(검단고교),42445,3872,5277,3872,5277,0,304.97
검단디에트르리버파크,89476,1003,3251,1003,3251,0,141.8
검단디에트르리버파크,89477,3277,904,3277,904,0,139.37
검단로744번길,89611,1140,457,1140,457,0,53.23
검단로744번길,89612,277,1174,277,1174,0,48.37
검단로제비앙라포레,89483,4363,1428,4363,1428,0,193.03
검단로지스틱스파크,41339,2032,810,2032,810,0,94.73
검단로지스틱스파크,42395,995,3964,995,3964,0,165.3
검단메가박스,42383,2123,1600,2123,1600,0,124.1
검단메가박스,42384,385,1047,385,1047,0,47.73
검단모아미래도엘리트,89466,1856,4305,1856,4305,0,205.37
검단모아엘가그랑데아파트,42483,1818,1645,1818,1645,0,115.43
검단사거리(구.검단출장소),42423,14563,10772,14563,10772,0,844.5
검단사거리(구.검단출장소),42424,4744,9349,4744,9349,0,469.77
검단사거리역,42419,14970,14764,14970,14764,0,991.13
검단사거리역,42426,2509,8973,2509,8973,0,382.73
검단사거리역,42427,7490,3525,7485,3525,5,367.17
검단사거리역,42537,9797,13089,9797,13089,0,762.87
검단소방서,42428,2313,4179,2313,4179,0,216.4
검단소방서,42431,604,2674,604,2674,0,109.27
검단소방서후문,89550,63,400,63,400,0,15.43
검단신도시예미지더시그너스,89415,4052,1844,4052,1844,0,196.53
검단신도시예미지더시그너스,89416,1491,3421,1491,3421,0,163.73
검단신도시우미린리버포레,89409,5568,5320,5568,5320,0,362.93
검단신안인스빌어반퍼스트,89511,2032,240,2032,240,0,75.73
검단신안인스빌어반퍼스트,89512,281,1218,281,1218,0,49.97
검단예미지트리플에듀,89543,1201,1392,1201,1392,0,86.43
검단예미지트리플에듀,89551,1314,623,1314,623,0,64.57
검단예미지트리플에듀2701동,89552,298,296,298,296,0,19.8
검단예미지트리플에듀아파트,89484,636,1494,636,1494,0,71
검단오류공단,42702,3,475,3,475,0,15.93
검단오류공단,42703,247,10,247,10,0,8.57
검단오류역,89057,8199,1321,8199,1321,0,317.33
검단오류역,89060,1037,8942,1037,8942,0,332.63
검단오류역우방아이유쉘,89067,783,1204,783,1204,0,66.23
검단오류역우방아이유쉘,89068,1494,480,1494,480,0,65.8
검단오류풍림아이원,89251,536,440,536,440,0,32.53
검단오류풍림아이원,89252,602,527,602,527,0,37.63
검단우미린더헤리티지,89525,105,126,105,126,0,7.7
검단우미린더헤리티지,89526,187,226,187,226,0,13.77
검단우미린파크뷰1단지,89499,512,415,512,415,0,30.9
검단우미린파크뷰1단지,89500,514,145,514,145,0,21.97
검단우미린파크뷰2단지,89469,4364,2237,4364,2237,0,220.03
검단우미린파크뷰2단지,89501,3261,3541,3261,3541,0,226.73
검단우방아이유쉘아파트,42688,392,803,392,803,0,39.83
검단원흥아파트,42400,1482,905,1482,905,0,79.57
검단원흥아파트,42401,1038,2477,1038,2477,0,117.17
검단유승한내들에듀파크정문,89567,2107,892,2107,892,0,99.97
검단지식산업센타,89054,6900,148,6900,148,0,234.93
검단지식산업센타,89063,133,4851,133,4851,0,166.13
검단천로,89590,336,36,336,36,0,12.4
검단천로,89591,13,317,13,317,0,11
검단초등학교,42475,10512,7244,10512,7244,0,591.87
검단초등학교,42482,6966,4906,6966,4906,0,395.73
검단초등학교,89332,105,151,102,151,3,8.53
검단초등학교,89333,109,192,106,192,3,10.03
검단탑종합병원,42877,644,715,644,715,0,45.3
검단탑종합병원,89596,191,10,191,10,0,6.7
검단하나아파트,42421,3383,520,3383,520,0,130.1
검단하나아파트,42422,451,818,450,818,1,42.3
검단한신더휴캐널파크1103동,89404,3672,8015,3672,8015,0,389.57
검단한신더휴캐널파크1103동,89405,10430,4966,10430,4966,0,513.2
검단한신더휴캐널파크정문,89566,629,1614,629,1614,0,74.77
검단호수공원역,89584,2384,536,2384,536,0,97.33
검단호수공원역,89585,136,3770,136,3770,0,130.2
검단힐스테이트4차,89597,165,12,165,12,0,5.9
검단힐스테이트5차아파트,42557,570,356,570,356,0,30.87
검단힐스테이트5차아파트,42558,283,948,283,948,0,41.03
검마루로.검단AA21단지,89607,220,3,220,3,0,7.43
검마루로.금강펜테리움,89618,6,446,6,446,0,15.07
검마루로.중흥S클래스,89620,183,87,183,87,0,9
검마루로.풍경채어바니티2차,89606,3,514,3,514,0,17.23
검마루로.풍경채어바니티2차,89608,378,1,378,1,0,12.63
검문소,43662,3,3,3,3,0,0.2
검문소,43812,5,100,5,100,0,3.5
검문소,90042,0,3,0,3,0,0.1
검문소,90043,76,164,75,164,1,8
검바위역,42348,5311,859,5311,859,0,205.67
검바위역,42349,1013,5247,1013,5247,0,208.67
검암경서동행정복지센터,42352,2554,5115,2554,5115,0,255.63
검암경서동행정복지센터,42353,6090,2218,6090,2218,0,276.93
검암사거리,42356,2782,5058,2782,5058,0,261.33
검암사거리,42357,6169,2282,6169,2282,0,281.7
검암사거리,42358,8531,2285,8531,2285,0,360.53
검암역(시내방면),42364,9592,356,9592,356,0,331.6
검암역(원당방면),42363,6277,30434,6277,30434,0,1223.7
검암역.서해그랑블아파트,42360,8115,6185,8115,6185,0,476.67
