운행일자,정산사업자,정류장아이디,교통수단구분,정류장명,시도코드(법정동),시도명(법정동),시군구코드(법정동),시군구명(법정동),읍면동코드(법정동),읍면동명(법정동),모바일아이디
2025-06-13,마이비,4364171,버스,품곡,43,충청북도,43111,청주시 상당구,4311135034,문의면,정보없음
2025-06-13,마이비,4364181,버스,품곡,43,충청북도,43111,청주시 상당구,4311135034,문의면,정보없음
2025-06-13,마이비,4364191,버스,두모2리(청남농협),43,충청북도,43111,청주시 상당구,4311135035,문의면,정보없음
2025-06-13,마이비,4364251,버스,현도정보고,43,충청북도,43112,청주시 서원구,4311232034,현도면,정보없음
2025-06-13,마이비,4364261,버스,죽암_청주IT과학고,43,충청북도,43112,청주시 서원구,4311232034,현도면,정보없음
2025-06-13,마이비,4364271,버스,우록2리_청원가구마을,43,충청북도,43112,청주시 서원구,4311232024,현도면,정보없음
2025-06-13,마이비,4364281,버스,우록2리,43,충청북도,43112,청주시 서원구,4311232024,현도면,정보없음
2025-06-13,마이비,4364291,버스,죽전2리,43,충청북도,43112,청주시 서원구,4311232023,현도면,정보없음
2025-06-13,마이비,4364301,버스,우록1리,43,충청북도,43112,청주시 서원구,4311232024,현도면,정보없음
2025-06-13,마이비,4364311,버스,죽전1리,43,충청북도,43112,청주시 서원구,4311232023,현도면,정보없음
2025-06-13,마이비,4364321,버스,현도면행정복지센터_선동리,43,충청북도,43112,청주시 서원구,4311232026,현도면,정보없음
2025-06-13,마이비,4364341,버스,시목리,43,충청북도,43112,청주시 서원구,4311232026,현도면,정보없음
2025-06-13,마이비,4364351,버스,매봉,43,충청북도,43112,청주시 서원구,4311232032,현도면,정보없음
2025-06-13,마이비,4364361,버스,매봉,43,충청북도,43112,청주시 서원구,4311232032,현도면,정보없음
2025-06-13,마이비,4364371,버스,양지리,43,충청북도,43112,청주시 서원구,4311232033,현도면,정보없음
2025-06-13,마이비,4364481,버스,양지2리,43,충청북도,43112,청주시 서원구,4311232033,현도면,정보없음
2025-06-13,마이비,4364501,버스,매봉리,43,충청북도,43112,청주시 서원구,4311232032,현도면,정보없음
2025-06-13,마이비,4364511,버스,달계리,43,충청북도,43112,청주시 서원구,4311232031,현도면,정보없음
2025-06-13,마이비,4364521,버스,현도면행정복지센터_선동리,43,충청북도,43112,청주시 서원구,4311232026,현도면,정보없음
2025-06-13,마이비,4364541,버스,죽전1리,43,충청북도,43112,청주시 서원구,4311232023,현도면,정보없음
2025-06-13,마이비,4364551,버스,죽전3리,43,충청북도,43112,청주시 서원구,4311232023,현도면,정보없음
2025-06-13,마이비,4364561,버스,우록1리,43,충청북도,43112,청주시 서원구,4311232024,현도면,정보없음
2025-06-13,마이비,4364571,버스,우록3리,43,충청북도,43112,청주시 서원구,4311232023,현도면,정보없음
2025-06-13,마이비,4364581,버스,우록2리,43,충청북도,43112,청주시 서원구,4311232024,현도면,정보없음
2025-06-13,마이비,4364641,버스,두모2리,43,충청북도,43111,청주시 상당구,4311135035,문의면,정보없음
2025-06-13,마이비,4364651,버스,품곡리,43,충청북도,43111,청주시 상당구,4311135034,문의면,정보없음
2025-06-13,마이비,4364661,버스,품곡리_빔실,43,충청북도,43111,청주시 상당구,4311135034,문의면,정보없음
2025-06-13,마이비,4364741,버스,하석2리,43,충청북도,43112,청주시 서원구,4311232029,현도면,정보없음
2025-06-13,마이비,4364751,버스,노산리,43,충청북도,43112,청주시 서원구,4311232030,현도면,정보없음
2025-06-13,마이비,4364851,버스,하석2리,43,충청북도,43112,청주시 서원구,4311232029,현도면,정보없음
2025-06-13,마이비,4364861,버스,오가리,43,충청북도,43112,청주시 서원구,4311232029,현도면,정보없음
2025-06-13,마이비,4364891,버스,화당교회,43,충청북도,43111,청주시 상당구,4311134029,남일면,정보없음
2025-06-13,마이비,4364901,버스,동화초등학교,43,충청북도,43111,청주시 상당구,4311134029,남일면,정보없음
2025-06-13,마이비,4364911,버스,남계3리,43,충청북도,43111,청주시 상당구,4311134029,남일면,정보없음
2025-06-13,마이비,4364921,버스,남계3리,43,충청북도,43111,청주시 상당구,4311135023,문의면,정보없음
2025-06-13,마이비,4364931,버스,등동2구,43,충청북도,43111,청주시 상당구,4311135037,문의면,정보없음
2025-06-13,마이비,4364961,버스,등동1구,43,충청북도,43111,청주시 상당구,4311135037,문의면,정보없음
2025-06-13,마이비,4364971,버스,등동2리,43,충청북도,43111,청주시 상당구,4311135037,문의면,정보없음
2025-06-13,마이비,4364981,버스,도원리,43,충청북도,43111,청주시 상당구,4311135036,문의면,정보없음
2025-06-13,마이비,4364991,버스,도원1리,43,충청북도,43111,청주시 상당구,4311135036,문의면,정보없음
2025-06-13,마이비,4365001,버스,도원2리,43,충청북도,43111,청주시 상당구,4311135036,문의면,정보없음
2025-06-13,마이비,4365011,버스,두모2리(청남농협),43,충청북도,43111,청주시 상당구,4311135035,문의면,정보없음
2025-06-13,마이비,4365021,버스,품곡,43,충청북도,43111,청주시 상당구,4311135034,문의면,정보없음
2025-06-13,마이비,4365031,버스,두모1리,43,충청북도,43111,청주시 상당구,4311135035,문의면,정보없음
2025-06-13,마이비,4365051,버스,도원2리,43,충청북도,43111,청주시 상당구,4311135036,문의면,정보없음
2025-06-13,마이비,4365061,버스,도원1리,43,충청북도,43111,청주시 상당구,4311135036,문의면,정보없음
2025-06-13,마이비,4365071,버스,도원리,43,충청북도,43111,청주시 상당구,4311135036,문의면,정보없음
2025-06-13,마이비,4365081,버스,등동2리,43,충청북도,43111,청주시 상당구,4311135037,문의면,정보없음
2025-06-13,마이비,4365091,버스,등동1리_정가울,43,충청북도,43111,청주시 상당구,4311135037,문의면,정보없음
2025-06-13,마이비,4365101,버스,등동,43,충청북도,43111,청주시 상당구,4311135037,문의면,정보없음
2025-06-13,마이비,4365111,버스,등동2,43,충청북도,43112,청주시 서원구,4311231023,남이면,정보없음
2025-06-13,마이비,4365121,버스,등동2리_오방골,43,충청북도,43111,청주시 상당구,4311135037,문의면,정보없음
2025-06-13,마이비,4365131,버스,남계3리_화산,43,충청북도,43111,청주시 상당구,4311135023,문의면,정보없음
2025-06-13,마이비,4365141,버스,남계3리,43,충청북도,43111,청주시 상당구,4311134029,남일면,정보없음
2025-06-13,마이비,4365161,버스,화당2리,43,충청북도,43111,청주시 상당구,4311134029,남일면,정보없음
2025-06-13,마이비,4365171,버스,품곡리_동막골,43,충청북도,43111,청주시 상당구,4311135034,문의면,정보없음
2025-06-13,마이비,4365181,버스,남일면행정복지센터,43,충청북도,43111,청주시 상당구,4311134022,남일면,정보없음
2025-06-13,마이비,4365191,버스,가중2리(버스종점),43,충청북도,43111,청주시 상당구,4311134032,남일면,정보없음
2025-06-13,마이비,4365211,버스,신송1리,43,충청북도,43111,청주시 상당구,4311134031,남일면,정보없음
2025-06-13,마이비,4365241,버스,가산,43,충청북도,43111,청주시 상당구,4311134030,남일면,정보없음
2025-06-13,마이비,4365251,버스,가산2구,43,충청북도,43111,청주시 상당구,4311134030,남일면,정보없음
2025-06-13,마이비,4365261,버스,성무아파트,43,충청북도,43111,청주시 상당구,4311134027,남일면,정보없음
2025-06-13,마이비,4365271,버스,고은2리_남일파출소앞,43,충청북도,43111,청주시 상당구,4311134028,남일면,정보없음
2025-06-13,마이비,4365291,버스,문의향교,43,충청북도,43111,청주시 상당구,4311135022,문의면,정보없음
2025-06-13,마이비,4365311,버스,묘암리,43,충청북도,43111,청주시 상당구,4311135038,문의면,정보없음
2025-06-13,마이비,4365321,버스,묘암_마동,43,충청북도,43111,청주시 상당구,4311135026,문의면,정보없음
2025-06-13,마이비,4365331,버스,산덕리마을회관,43,충청북도,43111,청주시 상당구,4311135025,문의면,정보없음
2025-06-13,마이비,4365341,버스,구룡2리,43,충청북도,43111,청주시 상당구,4311135026,문의면,정보없음
2025-06-13,마이비,4365351,버스,구룡1리,43,충청북도,43111,청주시 상당구,4311135026,문의면,정보없음
2025-06-13,마이비,4365371,버스,구룡1리,43,충청북도,43111,청주시 상당구,4311135026,문의면,정보없음
2025-06-13,마이비,4365411,버스,묘암리,43,충청북도,43111,청주시 상당구,4311135038,문의면,정보없음
2025-06-13,마이비,4365431,버스,마동창작마을,43,충청북도,43111,청주시 상당구,4311135040,문의면,정보없음
2025-06-13,마이비,4365441,버스,오리온,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365451,버스,청주흥덕경찰서,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
